,Id,postera_SAScore,postera_minNumSteps
227,AGN-NEW-95323f67-6,0.42845157,
228,AGN-NEW-95323f67-3,0.24591163,3.0
229,AGN-NEW-95323f67-2,0.49477646,
230,AGN-NEW-95323f67-5,0.59505266,
231,AGN-NEW-95323f67-1,0.41498792,
232,AGN-NEW-95323f67-4,0.25132808,3.0
233,AGN-NEW-051944a9-1,0.3875922,3.0
234,AGN-NEW-051944a9-2,0.4804088,4.0
235,AGN-NEW-051944a9-3,0.36864495,4.0
236,AGN-NEW-051944a9-4,0.4048913,6.0
237,AGN-NEW-fad6815c-1,0.32202792,4.0
238,AGN-NEW-fad6815c-2,0.28703958,3.0
239,AGN-NEW-9d245c51-1,0.3898875,6.0
240,AGN-NEW-9d245c51-2,0.3993799,4.0
241,AGN-NEW-9d245c51-3,0.43576598,6.0
242,AGN-NEW-9d245c51-4,0.63237107,8.0
243,AGN-NEW-9d245c51-5,0.6267793,8.0
244,AGN-NEW-5f02c22c-1,0.38035992,4.0
245,AGN-NEW-817c14da-2,0.2715095,3.0
246,AGN-NEW-817c14da-4,0.17884986,2.0
247,AGN-NEW-817c14da-5,0.2919803,3.0
248,AGN-NEW-817c14da-6,0.16736585,2.0
249,AGN-NEW-c197b967-1,0.33221272,4.0
250,AGN-NEW-c197b967-2,0.27672362,3.0
251,AGN-NEW-63f62ae9-1,0.31331822,3.0
252,AGN-NEW-63f62ae9-2,0.3145047,3.0
253,SAL-INS-cba98abe-1,0.6303118,
254,SAL-INS-cba98abe-2,0.4488639,4.0
255,SAL-INS-cba98abe-3,0.45656684,4.0
256,SAL-INS-cba98abe-4,0.60563886,
257,SAL-INS-cba98abe-5,0.68298084,
258,SAL-INS-cba98abe-6,0.37506568,4.0
259,SAL-INS-cba98abe-7,0.39786786,4.0
260,SAL-INS-cba98abe-8,0.45506182,4.0
261,SAL-INS-cba98abe-9,0.37335598,3.0
262,PAT-GYR-359dbb24-1,0.0,0.0
263,PAT-GYR-359dbb24-2,0.14396524,1.0
264,PAT-GYR-359dbb24-3,0.08658941,1.0
265,PAT-GYR-359dbb24-4,0.103820994,1.0
266,PAT-GYR-359dbb24-5,0.13389531,1.0
267,PAU-WEI-b9b69149-1,0.16119802,1.0
268,PAU-WEI-b9b69149-2,0.23711082,2.0
269,PAU-WEI-b9b69149-3,0.15461762,1.0
270,PAU-WEI-b9b69149-4,0.15444392,1.0
271,PAU-WEI-b9b69149-5,0.17157277,1.0
272,PAU-WEI-b9b69149-6,0.155272,1.0
273,PAU-WEI-b9b69149-7,0.3218003,3.0
274,PAU-WEI-b9b69149-8,0.2464412,2.0
275,PAU-WEI-b9b69149-9,0.28982812,2.0
276,ELE-IMP-dfb36048-2,0.13638571,1.0
277,ELE-IMP-dfb36048-3,0.13627236,1.0
278,ELE-IMP-dfb36048-4,0.13337049,1.0
279,ELE-IMP-dfb36048-5,0.13618861,1.0
280,ELE-IMP-dfb36048-6,0.33315608,3.0
281,AGN-NEW-c7b24fe3-1,0.08295317,1.0
282,AGN-NEW-c7b24fe3-2,0.08299094,1.0
283,AGN-NEW-c7b24fe3-3,0.0,0.0
284,AGN-NEW-c7b24fe3-4,0.0,0.0
285,AGN-NEW-c7b24fe3-5,0.083491065,1.0
286,AGN-NEW-c7b24fe3-6,0.083841056,1.0
287,DUN-NEW-d8381160-1,0.0,0.0
288,MIH-UNI-6b9ca91a-1,0.02831587,0.0
289,MIH-UNI-6b9ca91a-2,0.20413601,1.0
290,MIH-UNI-6b9ca91a-3,0.43439493,4.0
291,MIH-UNI-6b9ca91a-4,0.6819047,
292,MIH-UNI-6b9ca91a-5,0.0,0.0
293,MIH-UNI-6b9ca91a-6,0.0,0.0
294,MIH-UNI-6b9ca91a-7,0.73650837,
295,MIH-UNI-6b9ca91a-8,0.69936204,
296,MIH-UNI-6b9ca91a-9,0.27847674,3.0
297,AGN-NEW-891393a6-1,0.08699099,1.0
298,AGN-NEW-891393a6-2,0.087105945,1.0
299,AGN-NEW-891393a6-3,0.17524283,2.0
300,AGN-NEW-891393a6-4,0.09163934,1.0
301,AGN-NEW-891393a6-5,0.24272345,3.0
302,AGN-NEW-891393a6-6,0.16026507,2.0
303,AGN-NEW-891393a6-7,0.16034038,2.0
304,AGN-NEW-891393a6-8,0.16043872,2.0
305,AGN-NEW-891393a6-9,0.17139125,2.0
306,AGN-NEW-891393a6-10,0.16030955,2.0
307,AGN-NEW-891393a6-11,0.24424481,3.0
308,HAR-NEW-972ef1cc-1,0.41287065,3.0
309,HAR-NEW-972ef1cc-2,0.37707722,3.0
310,DUN-NEW-f8ce3686-1,0.0,0.0
311,DUN-NEW-f8ce3686-2,0.1517319,0.0
312,DUN-NEW-f8ce3686-3,0.23608607,2.0
313,DUN-NEW-f8ce3686-4,0.13700047,1.0
314,DUN-NEW-f8ce3686-5,0.29153365,2.0
315,DUN-NEW-f8ce3686-6,0.17122613,1.0
316,DUN-NEW-f8ce3686-7,0.17235783,2.0
317,DUN-NEW-f8ce3686-8,0.079687625,0.0
318,DUN-NEW-f8ce3686-9,0.09421679,1.0
319,DUN-NEW-f8ce3686-11,0.16859458,2.0
320,DUN-NEW-f8ce3686-12,0.082225405,1.0
321,DUN-NEW-f8ce3686-13,0.0,0.0
322,DUN-NEW-f8ce3686-14,0.053984884,0.0
323,DUN-NEW-f8ce3686-15,0.16543023,1.0
324,DUN-NEW-f8ce3686-16,0.1628199,2.0
325,DUN-NEW-f8ce3686-17,0.16067424,2.0
326,DUN-NEW-f8ce3686-18,0.16389996,1.0
327,DUN-NEW-f8ce3686-19,0.13878131,1.0
328,DUN-NEW-f8ce3686-20,0.13776445,1.0
329,DUN-NEW-f8ce3686-21,0.23711424,2.0
330,DUN-NEW-f8ce3686-22,0.0,0.0
331,DUN-NEW-f8ce3686-23,0.0,0.0
332,DUN-NEW-f8ce3686-24,0.06477144,0.0
333,DUN-NEW-f8ce3686-25,0.16122499,2.0
334,SAL-INS-1ea6d4ee-1,0.65075105,
335,SAL-INS-1ea6d4ee-2,0.6606752,
336,SAL-INS-1ea6d4ee-3,0.43029392,3.0
337,SAL-INS-1ea6d4ee-4,0.4192224,3.0
338,HAN-NEW-5f56c3bc-1,0.0,0.0
339,HAN-NEW-5f56c3bc-2,0.16614819,2.0
340,HAN-NEW-5f56c3bc-4,0.6690857,
341,HAN-NEW-5f56c3bc-5,0.24419472,2.0
342,SAL-INS-1c7a5a55-1,0.42692888,4.0
343,SAL-INS-1c7a5a55-2,0.44917104,5.0
344,SAL-INS-1c7a5a55-3,0.7674349,
345,SAL-INS-1c7a5a55-4,0.75217444,
346,SAL-INS-1c7a5a55-5,0.66741097,
347,SAL-INS-1c7a5a55-6,0.7880344,
348,SAL-INS-1c7a5a55-7,0.23262684,2.0
349,SAL-INS-1c7a5a55-8,0.23759256,2.0
350,SAL-INS-1c7a5a55-9,0.33056393,2.0
351,SAL-INS-1c7a5a55-10,0.26738268,1.0
352,SAL-INS-1c7a5a55-11,0.20262115,1.0
353,SAL-INS-1c7a5a55-12,0.33384237,3.0
354,SAL-INS-a5f8a8b9-1,0.31247154,1.0
355,SAL-INS-a5f8a8b9-2,0.39935946,3.0
356,NAU-LAT-ec9c7557-1,0.1707991,2.0
357,NAU-LAT-ec9c7557-2,0.081000656,1.0
358,NAU-LAT-ec9c7557-3,0.16163337,1.0
359,NAU-LAT-ec9c7557-4,0.113128304,1.0
360,NAU-LAT-ec9c7557-5,0.32815722,2.0
361,NAU-LAT-ec9c7557-6,0.163648,2.0
362,NAU-LAT-ec9c7557-7,0.60683703,
363,AGN-NEW-cce853d0-1,0.17056331,2.0
364,AGN-NEW-cce853d0-2,0.17533858,2.0
365,AGN-NEW-cce853d0-3,0.27307814,2.0
366,SAL-INS-68b48d12-1,0.31590998,2.0
367,SAL-INS-68b48d12-2,0.3906287,3.0
368,SAL-INS-68b48d12-3,0.3352123,1.0
369,SAL-INS-68b48d12-4,0.42001176,3.0
370,SAL-INS-68b48d12-5,0.33114693,2.0
371,SAL-INS-68b48d12-6,0.36261055,3.0
372,SAL-INS-68b48d12-7,0.3089454,2.0
373,SAL-INS-68b48d12-8,0.39743215,3.0
374,SAL-INS-68b48d12-9,0.36941487,3.0
375,SAL-INS-68b48d12-10,0.44835788,4.0
376,SAL-INS-68b48d12-11,0.3585165,2.0
377,SAL-INS-68b48d12-12,0.44820023,3.0
378,ANN-UNI-26382800-1,0.083783045,1.0
379,ANN-UNI-26382800-2,0.08165698,1.0
380,ANN-UNI-26382800-3,0.0,0.0
381,ANN-UNI-26382800-5,0.0,0.0
382,ANN-UNI-26382800-6,0.0,0.0
383,ANN-UNI-26382800-7,0.28666165,1.0
384,SAM-UNK-83e03154-1,0.3093386,5.0
385,SAM-UNK-83e03154-2,0.41895348,
386,SAM-UNK-83e03154-3,0.42351714,7.0
387,CHR-SOS-e960e883-1,0.23084801,2.0
388,CHR-SOS-e960e883-2,0.22201453,2.0
389,CHR-SOS-e960e883-3,0.18519035,2.0
390,CHR-SOS-e960e883-4,0.22973675,2.0
391,CHR-SOS-e960e883-5,0.2235994,2.0
392,CHR-SOS-e960e883-6,0.18646422,2.0
393,CHR-SOS-f7373dd1-1,0.1804161,1.0
394,CHR-SOS-f7373dd1-2,0.1827103,1.0
395,CHR-SOS-f7373dd1-3,0.20846578,2.0
396,CHR-SOS-f7373dd1-4,0.05474996,0.0
397,CHR-SOS-f7373dd1-5,0.18269816,1.0
398,CHR-SOS-f7373dd1-6,0.21499753,2.0
399,TRI-UNI-97428359-1,0.0,0.0
400,TRI-UNI-97428359-2,0.13027962,1.0
401,TRI-UNI-97428359-3,0.10810624,1.0
402,CHR-SOS-59746812-1,0.21019568,2.0
403,CHR-SOS-59746812-2,0.2122678,2.0
404,CHR-SOS-59746812-3,0.2715757,2.0
405,CHR-SOS-59746812-4,0.28435537,2.0
406,CHR-SOS-59746812-5,0.22200747,2.0
407,CHR-SOS-59746812-6,0.28085577,2.0
408,CHR-SOS-b301fc01-1,0.26167786,3.0
409,CHR-SOS-b301fc01-2,0.2622121,3.0
410,CHR-SOS-b301fc01-3,0.26213118,3.0
411,CHR-SOS-b301fc01-4,0.26454675,3.0
412,CHR-SOS-b301fc01-5,0.26359627,3.0
413,CHR-SOS-b301fc01-6,0.26159784,3.0
414,CHR-SOS-b301fc01-7,0.26169986,3.0
415,CHR-SOS-54d5cf3e-1,0.76699084,
416,CHR-SOS-54d5cf3e-2,0.45964116,4.0
417,CHR-SOS-54d5cf3e-3,0.7681028,
418,CHR-SOS-54d5cf3e-4,0.45761082,4.0
419,CHR-SOS-54d5cf3e-5,0.26231122,3.0
420,CHR-SOS-54d5cf3e-6,0.2615059,3.0
421,CHR-SOS-54d5cf3e-7,0.26149988,3.0
422,CHR-SOS-54d5cf3e-8,0.26344007,3.0
423,AMD-UAU-3d234461-1,0.053954452,0.0
424,AMD-UAU-3d234461-2,0.084576584,1.0
425,GIA-UNK-995df016-1,0.2584591,2.0
426,GIA-UNK-995df016-2,0.2583478,2.0
427,GIA-UNK-995df016-3,0.25784832,2.0
428,GIA-UNK-995df016-4,0.2581306,2.0
429,GIA-UNK-995df016-5,0.25854307,2.0
430,GIA-UNK-995df016-6,0.1886292,2.0
431,GIA-UNK-995df016-7,0.2589147,2.0
432,GIA-UNK-995df016-8,0.25850913,2.0
433,GIA-UNK-995df016-9,0.32720444,2.0
434,GIA-UNK-995df016-10,0.25801584,2.0
435,GIA-UNK-995df016-11,0.25800717,2.0
436,GIA-UNK-995df016-12,0.25767475,2.0
437,GIA-UNK-995df016-13,0.25837648,2.0
438,GIA-UNK-995df016-14,0.260152,2.0
439,GIA-UNK-995df016-15,0.26048753,2.0
440,GIA-UNK-995df016-16,0.25854865,2.0
441,GIA-UNK-995df016-17,0.2585359,2.0
442,GIA-UNK-eaadd1d4-1,0.0,0.0
443,GIA-UNK-eaadd1d4-2,0.074099354,0.0
444,GIA-UNK-eaadd1d4-3,0.0,0.0
445,CHR-SOS-7098f804-1,0.0,0.0
446,CHR-SOS-7098f804-2,0.0,0.0
447,CHR-SOS-7098f804-3,0.0824046,0.0
448,CHR-SOS-7098f804-4,0.0,0.0
449,CHR-SOS-7098f804-5,0.0,0.0
450,CHR-SOS-7098f804-6,0.0,0.0
451,CHR-SOS-7098f804-7,0.0,0.0
452,CHR-SOS-7098f804-8,0.0,0.0
453,CHR-SOS-7098f804-9,0.0,0.0
454,CHR-SOS-7098f804-10,0.0,0.0
455,CHR-SOS-7098f804-11,0.0,0.0
456,CHR-SOS-7098f804-12,0.0,0.0
457,CHR-SOS-7098f804-13,0.08911269,1.0
458,CHR-SOS-7098f804-14,0.0,0.0
459,CHR-SOS-7098f804-15,0.0856814,1.0
460,CHR-SOS-7098f804-16,0.07571923,0.0
461,CHR-SOS-7098f804-17,0.087947115,1.0
462,CHR-SOS-7098f804-18,0.13213469,1.0
463,CHR-SOS-7098f804-19,0.13170606,1.0
464,CHR-SOS-7098f804-21,0.0,0.0
465,CHR-SOS-7098f804-22,0.2169243,2.0
466,AVI-UNI-cf069e49-1,0.5765604,
467,AVI-UNI-cf069e49-2,0.8594731,
468,BAR-COM-21d20d65-1,0.2624401,1.0
469,BAR-COM-21d20d65-2,0.36679748,3.0
470,BAR-COM-21d20d65-3,0.16296531,2.0
471,BAR-COM-21d20d65-4,0.11716955,1.0
472,BAR-COM-21d20d65-5,0.16917294,2.0
473,BAR-COM-21d20d65-6,0.23817633,2.0
474,BAR-COM-21d20d65-7,0.11800055,1.0
475,BAR-COM-21d20d65-8,0.14459595,1.0
476,BAR-COM-21d20d65-9,0.27494043,2.0
477,BAR-COM-5694a99d-1,0.1474784,1.0
478,BAR-COM-5694a99d-2,0.08772783,1.0
479,BAR-COM-5694a99d-3,0.16661288,1.0
480,BAR-COM-5694a99d-4,0.18266885,1.0
481,BAR-COM-5694a99d-5,0.16609907,1.0
482,GIA-UNK-595fac82-1,0.055554498,0.0
483,GIA-UNK-595fac82-2,0.0,0.0
484,GIA-UNK-595fac82-3,0.0,0.0
485,GIA-UNK-595fac82-4,0.053356808,0.0
486,GIA-UNK-595fac82-5,0.0,0.0
487,KIM-UNI-60f168f5-1,0.14210111,1.0
488,KIM-UNI-60f168f5-2,0.09479489,1.0
489,KIM-UNI-60f168f5-3,0.4331447,
490,KIM-UNI-60f168f5-4,0.1878107,2.0
491,KIM-UNI-60f168f5-5,0.42775455,
492,KIM-UNI-60f168f5-6,0.25389946,3.0
493,KIM-UNI-60f168f5-7,0.16479087,2.0
494,KIM-UNI-60f168f5-8,0.16354622,2.0
495,KIM-UNI-60f168f5-9,0.16503671,2.0
496,KIM-UNI-60f168f5-10,0.1639999,2.0
497,KIM-UNI-60f168f5-11,0.27333146,3.0
498,GIA-UNK-5ec6c2b8-1,0.17458247,1.0
499,GIA-UNK-5ec6c2b8-2,0.18239954,1.0
500,GIA-UNK-5ec6c2b8-3,0.17654261,1.0
