,Id,SMILES,IC50,Structure ID,pdb_entry,prior,category,initial_screen,is_covalent,purchasable,inspired_by
29,DAR-DIA-23aa0b97-13,Nc1cncc(NC(=O)Nc2cccc(Cl)c2)c1,,x2964,,False,Core,False,False,False,"AAR-POS-d2a4d1df-2,AAR-POS-d2a4d1df-5,AAR-POS-d2a4d1df-11,ALE-HEI-f28a35b5-9,AAR-POS-d2a4d1df-18,AAR-POS-d2a4d1df-20,AAR-POS-d2a4d1df-21"
30,DAR-DIA-23aa0b97-14,O=C(Nc1cccnc1)Nc1cccc(Cl)c1,,x10996,,False,Core,False,False,True,"AAR-POS-d2a4d1df-2,AAR-POS-d2a4d1df-5,AAR-POS-d2a4d1df-11,ALE-HEI-f28a35b5-9,AAR-POS-d2a4d1df-18,AAR-POS-d2a4d1df-20,AAR-POS-d2a4d1df-21"
31,DAR-DIA-23aa0b97-15,O=C(Nc1cccnc1)Nc1cncc(Cl)c1,,,,False,Core,False,False,False,"AAR-POS-d2a4d1df-2,AAR-POS-d2a4d1df-5,AAR-POS-d2a4d1df-11,ALE-HEI-f28a35b5-9,AAR-POS-d2a4d1df-18,AAR-POS-d2a4d1df-20,AAR-POS-d2a4d1df-21"
32,DAR-DIA-23aa0b97-16,O=C(Cc1cncc(Cl)c1)Nc1cccnc1,,,,False,Core,False,False,False,"AAR-POS-d2a4d1df-2,AAR-POS-d2a4d1df-5,AAR-POS-d2a4d1df-11,ALE-HEI-f28a35b5-9,AAR-POS-d2a4d1df-18,AAR-POS-d2a4d1df-20,AAR-POS-d2a4d1df-21"
33,DAR-DIA-23aa0b97-17,N#Cc1cncc(CC(=O)Nc2cccnc2)c1,,x2569,5RGW,False,Core,False,False,False,"AAR-POS-d2a4d1df-2,AAR-POS-d2a4d1df-5,AAR-POS-d2a4d1df-11,ALE-HEI-f28a35b5-9,AAR-POS-d2a4d1df-18,AAR-POS-d2a4d1df-20,AAR-POS-d2a4d1df-21"
34,DAR-DIA-23aa0b97-18,N#Cc1cccc(NC(=O)Cc2cncc3ncccc23)c1,,,,False,Core,False,False,False,"AAR-POS-d2a4d1df-2,AAR-POS-d2a4d1df-5,AAR-POS-d2a4d1df-11,ALE-HEI-f28a35b5-9,AAR-POS-d2a4d1df-18,AAR-POS-d2a4d1df-20,AAR-POS-d2a4d1df-21"
35,DAR-DIA-23aa0b97-19,N#Cc1cccc(NC(=O)Cc2cncc3ccccc23)c1,26.7,,,False,Core,False,False,True,"AAR-POS-d2a4d1df-2,AAR-POS-d2a4d1df-5,AAR-POS-d2a4d1df-11,ALE-HEI-f28a35b5-9,AAR-POS-d2a4d1df-18,AAR-POS-d2a4d1df-20,AAR-POS-d2a4d1df-21"
36,DAR-DIA-23aa0b97-20,O=C(Cc1cncc2ccccc12)Nc1ccccc1,57.6,x2563,5RGV,False,Core,False,False,True,"AAR-POS-d2a4d1df-2,AAR-POS-d2a4d1df-5,AAR-POS-d2a4d1df-11,ALE-HEI-f28a35b5-9,AAR-POS-d2a4d1df-18,AAR-POS-d2a4d1df-20,AAR-POS-d2a4d1df-21"
37,DAR-DIA-03336633-1,O=C(Nc1ccccc1)Nc1cnccc1CCNC(=O)NC1CCCCC1,,,,False,Core,False,False,False,"AAR-POS-d2a4d1df-11,AAR-POS-d2a4d1df-12,ALE-HEI-f28a35b5-9,AAR-POS-d2a4d1df-20"
38,DAR-DIA-03336633-2,O=C(Cc1cnccc1CCNC(=O)NC1CCCCC1)Nc1ccccc1,,,,False,Core,False,False,False,"AAR-POS-d2a4d1df-11,AAR-POS-d2a4d1df-12,ALE-HEI-f28a35b5-9,AAR-POS-d2a4d1df-20"
39,DAR-DIA-03336633-3,O=C(Nc1cccc(Cl)c1)Nc1cnccc1CCNC(=O)NC1CCCCC1,,,,False,Core,False,False,False,"AAR-POS-d2a4d1df-11,AAR-POS-d2a4d1df-12,ALE-HEI-f28a35b5-9,AAR-POS-d2a4d1df-20"
40,DAR-DIA-03336633-4,N#Cc1cccc(NC(=O)Nc2cnccc2CCNC(=O)NC2CCCCC2)c1,,,,False,Core,False,False,False,"AAR-POS-d2a4d1df-11,AAR-POS-d2a4d1df-12,ALE-HEI-f28a35b5-9,AAR-POS-d2a4d1df-20"
41,DAR-DIA-03336633-5,O=C(CC1CCCCC1)Nc1cnccc1CCNC(=O)NC1CCCCC1,,,,False,Core,False,False,False,"AAR-POS-d2a4d1df-11,AAR-POS-d2a4d1df-12,ALE-HEI-f28a35b5-9,AAR-POS-d2a4d1df-20"
42,DAR-DIA-03336633-6,CN1CCN(CC(=O)Nc2cnccc2CCNC(=O)NC2CCCCC2)CC1,,,,False,Core,False,False,False,"AAR-POS-d2a4d1df-11,AAR-POS-d2a4d1df-12,ALE-HEI-f28a35b5-9,AAR-POS-d2a4d1df-20"
43,DAR-DIA-03336633-7,O=C(Cc1ccccc1)Nc1cnccc1CCNC(=O)NC1CCCCC1,,,,False,Core,False,False,False,"AAR-POS-d2a4d1df-11,AAR-POS-d2a4d1df-12,ALE-HEI-f28a35b5-9,AAR-POS-d2a4d1df-20"
44,DAR-DIA-03336633-8,CN1CCN(C(=O)NCCc2ccncc2NC(=O)Cc2ccccc2)CC1,,,,False,Core,False,False,False,"AAR-POS-d2a4d1df-11,AAR-POS-d2a4d1df-12,ALE-HEI-f28a35b5-9,AAR-POS-d2a4d1df-20"
45,DAR-DIA-03336633-9,O=C(Cc1ccccc1)Nc1cnccc1CCNC(=O)N1CCCCC1,,,,False,Core,False,False,False,"AAR-POS-d2a4d1df-11,AAR-POS-d2a4d1df-12,ALE-HEI-f28a35b5-9,AAR-POS-d2a4d1df-20"
46,DAR-DIA-03336633-10,O=C(Cc1ccccc1)Nc1cnccc1CCNC(=O)N1CCOCC1,,,,False,Core,False,False,False,"AAR-POS-d2a4d1df-11,AAR-POS-d2a4d1df-12,ALE-HEI-f28a35b5-9,AAR-POS-d2a4d1df-20"
47,DAR-DIA-03336633-11,O=C(Nc1ccccc1)Nc1cnccc1CCNC(=O)N1CCCCC1,,,,False,Core,False,False,False,"AAR-POS-d2a4d1df-11,AAR-POS-d2a4d1df-12,ALE-HEI-f28a35b5-9,AAR-POS-d2a4d1df-20"
