,Id,Ordered,Made,Assayed,Maker,order_date,shipment_date
149,TRY-UNI-1fd04853-4,False,False,False,,,
150,TRY-UNI-1fd04853-5,False,False,False,enamine,2020-03-31,2020-04-09
151,TRY-UNI-1fd04853-6,False,False,False,,,
152,TRY-UNI-1fd04853-7,False,False,False,enamine,2020-03-31,2020-04-09
153,TRY-UNI-1fd04853-8,False,False,False,enamine,2020-03-31,2020-04-09
154,TRY-UNI-1fd04853-9,False,False,False,enamine,2020-03-31,2020-04-09
155,TRY-UNI-1fd04853-10,False,False,False,enamine,2020-03-31,2020-05-20
156,TRY-UNI-1fd04853-11,False,False,False,enamine,2020-03-31,2020-04-09
157,TRY-UNI-1fd04853-12,False,False,False,enamine,2020-03-31,2020-04-09
158,PAU-WEI-c6d65c11-1,False,False,False,enamine,2020-04-17,
159,ANT-DIA-b7f58f21-1,False,False,False,,,
160,ANT-DIA-b7f58f21-2,False,False,False,enamine,2020-03-31,2020-04-17
161,ANT-DIA-b7f58f21-3,False,False,False,enamine,2020-03-31,2020-04-27
162,ANT-DIA-b7f58f21-4,False,False,False,,,
163,ANT-DIA-b7f58f21-5,False,False,False,,,
164,ANT-DIA-b7f58f21-6,False,False,False,,,
165,ANT-DIA-b7f58f21-7,False,False,False,,,
166,ANT-DIA-b7f58f21-9,False,False,False,,,
167,PAT-UNK-b2d83456-1,False,False,False,enamine,2020-03-31,2020-04-09
168,PAT-UNK-b2d83456-2,False,False,False,,,
169,PAT-UNK-b2d83456-3,False,False,False,,,
170,PAT-UNK-b2d83456-4,False,False,False,,,
171,PAT-UNK-b2d83456-5,False,False,False,,,
172,CAR-INS-33b3c115-1,False,False,False,,,
173,CAR-INS-33b3c115-2,False,False,False,,,
174,CAR-INS-33b3c115-3,False,False,False,,,
175,CAR-INS-33b3c115-4,False,False,False,,,
176,NIM-UNI-36e12f95-1,False,False,False,,,
177,NIM-UNI-36e12f95-2,False,False,False,wuxi,2020-06-10,
178,NIM-UNI-36e12f95-3,False,False,False,wuxi,2020-06-10,
179,NIM-UNI-36e12f95-4,False,False,False,,,
180,NIM-UNI-36e12f95-5,False,False,False,,,
181,ADA-UNI-f8e79267-1,False,False,False,,,
182,ADA-UNI-f8e79267-2,False,False,False,enamine,2020-03-31,2020-06-30
183,ADA-UNI-f8e79267-3,False,False,False,,,
184,ADA-UNI-f8e79267-4,False,False,False,,,
185,ADA-UNI-f8e79267-5,False,False,False,enamine,2020-03-31,2020-06-10
186,ADA-UNI-f8e79267-6,False,False,False,,,
187,ADA-UNI-f8e79267-7,False,False,False,,,
188,ADA-UNI-f8e79267-8,False,False,False,,,
189,ADA-UNI-f8e79267-9,False,False,False,,,
190,ADA-UNI-f8e79267-10,False,False,False,,,
191,ADA-UNI-f8e79267-11,False,False,False,,,
192,ADA-UNI-f8e79267-12,False,False,False,,,
193,SAL-INS-3161d1be-1,False,False,False,,,
194,SAL-INS-3161d1be-2,False,False,False,,,
195,SAL-INS-3161d1be-3,False,False,False,,,
196,SAL-INS-3161d1be-4,False,False,False,,,
197,JAV-UNI-4503e1e6-1,False,False,False,,,
198,JOR-UNI-2fc98d0b-1,False,False,False,,,
199,JOR-UNI-2fc98d0b-2,False,False,False,,,
200,JOR-UNI-2fc98d0b-3,False,False,False,,,
201,JOR-UNI-2fc98d0b-4,False,False,False,,,
202,JOR-UNI-2fc98d0b-5,False,False,False,,,
203,JOR-UNI-2fc98d0b-6,False,False,False,enamine,2020-03-31,2020-05-26
204,JOR-UNI-2fc98d0b-8,False,False,False,,,
205,JOR-UNI-2fc98d0b-9,False,False,False,,,
206,JOR-UNI-2fc98d0b-10,False,False,False,,,
207,JOR-UNI-2fc98d0b-11,False,False,False,,,
208,JOR-UNI-2fc98d0b-12,False,False,False,enamine,2020-03-31,2020-05-26
209,JOR-UNI-2fc98d0b-13,False,False,False,,,
210,JOR-UNI-2fc98d0b-14,False,False,False,,,
211,JOR-UNI-2fc98d0b-15,False,False,False,,,
212,JOR-UNI-2fc98d0b-16,False,False,False,,,
213,JOR-UNI-2fc98d0b-17,False,False,False,,,
214,ANT-STE-dbb91f63-1,False,False,False,enamine,2020-04-17,2020-05-26
215,ANT-STE-dbb91f63-2,False,False,False,,,
216,ANT-STE-dbb91f63-3,False,False,False,,,
217,KIM-UNI-2ee5d8f9-1,False,False,False,enamine,2020-03-31,2020-04-27
218,ANT-LOU-17aa1493-1,False,False,False,,,
219,ANT-LOU-17aa1493-2,False,False,False,enamine,2020-04-29,2020-05-20
220,ANT-LOU-17aa1493-3,False,False,False,,,
221,KIM-UNI-7d12df64-1,False,False,False,,,
222,KIM-UNI-7d12df64-2,False,False,False,,,
223,KIM-UNI-7d12df64-3,False,False,False,,,
224,KIM-UNI-7d12df64-4,False,False,False,enamine,2020-03-31,
225,SAM-UNK-903735bd-1,False,False,False,,,
226,ELE-IMP-dfb36048-1,False,False,False,,,
227,AGN-NEW-95323f67-6,False,False,False,,,
228,AGN-NEW-95323f67-3,False,False,False,,,
229,AGN-NEW-95323f67-2,False,False,False,,,
230,AGN-NEW-95323f67-5,False,False,False,,,
231,AGN-NEW-95323f67-1,False,False,False,,,
232,AGN-NEW-95323f67-4,False,False,False,,,
233,AGN-NEW-051944a9-1,False,False,False,,,
234,AGN-NEW-051944a9-2,False,False,False,,,
235,AGN-NEW-051944a9-3,False,False,False,,,
236,AGN-NEW-051944a9-4,False,False,False,,,
237,AGN-NEW-fad6815c-1,False,False,False,,,
238,AGN-NEW-fad6815c-2,False,False,False,,,
239,AGN-NEW-9d245c51-1,False,False,False,,,
240,AGN-NEW-9d245c51-2,False,False,False,,,
241,AGN-NEW-9d245c51-3,False,False,False,,,
242,AGN-NEW-9d245c51-4,False,False,False,,,
